, ground.x,ground.y,ground.z,ground.e0,ground.e1,ground.e2,ground.e3,rbr_uca.x,rbr_uca.y,rbr_uca.z,rbr_uca.e0,rbr_uca.e1,rbr_uca.e2,rbr_uca.e3,rbl_uca.x,rbl_uca.y,rbl_uca.z,rbl_uca.e0,rbl_uca.e1,rbl_uca.e2,rbl_uca.e3,rbr_lca.x,rbr_lca.y,rbr_lca.z,rbr_lca.e0,rbr_lca.e1,rbr_lca.e2,rbr_lca.e3,rbl_lca.x,rbl_lca.y,rbl_lca.z,rbl_lca.e0,rbl_lca.e1,rbl_lca.e2,rbl_lca.e3,rbr_upright.x,rbr_upright.y,rbr_upright.z,rbr_upright.e0,rbr_upright.e1,rbr_upright.e2,rbr_upright.e3,rbl_upright.x,rbl_upright.y,rbl_upright.z,rbl_upright.e0,rbl_upright.e1,rbl_upright.e2,rbl_upright.e3,rbr_upper_strut.x,rbr_upper_strut.y,rbr_upper_strut.z,rbr_upper_strut.e0,rbr_upper_strut.e1,rbr_upper_strut.e2,rbr_upper_strut.e3,rbl_upper_strut.x,rbl_upper_strut.y,rbl_upper_strut.z,rbl_upper_strut.e0,rbl_upper_strut.e1,rbl_upper_strut.e2,rbl_upper_strut.e3,rbr_lower_strut.x,rbr_lower_strut.y,rbr_lower_strut.z,rbr_lower_strut.e0,rbr_lower_strut.e1,rbr_lower_strut.e2,rbr_lower_strut.e3,rbl_lower_strut.x,rbl_lower_strut.y,rbl_lower_strut.z,rbl_lower_strut.e0,rbl_lower_strut.e1,rbl_lower_strut.e2,rbl_lower_strut.e3,rbr_tie_rod.x,rbr_tie_rod.y,rbr_tie_rod.z,rbr_tie_rod.e0,rbr_tie_rod.e1,rbr_tie_rod.e2,rbr_tie_rod.e3,rbl_tie_rod.x,rbl_tie_rod.y,rbl_tie_rod.z,rbl_tie_rod.e0,rbl_tie_rod.e1,rbl_tie_rod.e2,rbl_tie_rod.e3,rbr_hub.x,rbr_hub.y,rbr_hub.z,rbr_hub.e0,rbr_hub.e1,rbr_hub.e2,rbr_hub.e3,rbl_hub.x,rbl_hub.y,rbl_hub.z,rbl_hub.e0,rbl_hub.e1,rbl_hub.e2,rbl_hub.e3,time
0, 0, 0, 0, 1, 0, 0, 0, 0, 502, 729.5, 1, 0, 0, 0, 0, -502, 729.5, 1, 0, 0, 0, 0, 510.5, 402.5, 1, 0, 0, 0, 0, -510.5, 402.5, 1, 0, 0, 0, 0, 843.333, 548, 1, 0, 0, 0, 0, -843.333, 548, 1, 0, 0, 0, -165, 534, 1005.5, 1, 0, 0, 0, -165, -534, 1005.5, 1, 0, 0, 0, -165, 534, 646.5, 1, 0, 0, 0, -165, -534, 646.5, 1, 0, 0, 0, 400.5, 493.5, 655, 1, 0, 0, 0, 400.5, -493.5, 655, 1, 0, 0, 0, 0, 976.899, 546, 1, 0, 0, 0, 0, -976.899, 546, 1, 0, 0, 0,0.000000
1, 0, 0, 0, 1, 0, 0, 0, -1.65292e-20, 501.994, 729.831, 1, 0.000751475, -1.08273e-23, 3.73864e-23, -3.10704e-20, -502.005, 729.169, 1, 0.000751579, -1.29909e-24, -7.0594e-23, 1.22743e-19, 510.548, 402.838, 1, 0.000637313, -1.98182e-22, -2.03264e-22, -3.23579e-20, -510.452, 402.162, 1, 0.000637484, -3.7637e-22, -1.16201e-22, 0.00344426, 843.376, 548.696, 1, 0.000144274, 2.68565e-06, -1.82838e-05, -0.00344694, -843.29, 547.304, 1, 0.000144126, -2.68246e-06, -1.82988e-05, -165, 533.991, 1005.5, 1, -2.41417e-05, -7.02591e-15, -2.9141e-10, -165, -534.009, 1005.5, 1, -2.37965e-05, -6.75078e-15, -2.83136e-10, -165, 533.974, 646.868, 1, -2.41417e-05, -5.28123e-12, -2.18761e-07, -165, -534.026, 646.132, 1, -2.37965e-05, -5.20301e-12, -2.18646e-07, 400.5, 493.498, 655.329, 1, 0.000726869, 5.0754e-06, 5.63177e-07, 400.5, -493.501, 654.671, 1, 0.000726986, -4.54776e-06, 5.53664e-07, 0.00831781, 976.942, 546.735, 1, 0.000144274, 2.68565e-06, -1.82838e-05, -0.00832428, -976.855, 545.265, 1, 0.000144126, -2.68246e-06, -1.82988e-05,0.005005
2, 0, 0, 0, 1, 0, 0, 0, -1.69878e-20, 501.988, 730.161, 0.999999, 0.00150283, -7.05203e-23, 3.73817e-23, 3.53152e-21, -502.01, 728.839, 0.999999, 0.00150324, 2.44155e-23, 7.67427e-24, -1.10906e-20, 510.595, 403.177, 0.999999, 0.00127444, -2.22254e-22, 5.0809e-23, -7.92233e-20, -510.404, 401.823, 0.999999, 0.00127513, -3.73745e-22, -2.00397e-22, 0.00688575, 843.417, 549.393, 1, 0.000288691, 5.37442e-06, -3.65522e-05, -0.00689647, -843.246, 546.607, 1, 0.000288102, -5.36167e-06, -3.66122e-05, -165, 533.983, 1005.5, 1, -4.86282e-05, -5.7483e-14, -1.18235e-09, -165, -534.017, 1005.5, 1, -4.72474e-05, -5.27369e-14, -1.11616e-09, -165, 533.948, 647.237, 1, -4.86282e-05, -4.2562e-11, -8.75255e-07, -165, -534.051, 645.763, 1, -4.72474e-05, -4.13101e-11, -8.74336e-07, 400.5, 493.496, 655.659, 0.999999, 0.0014536, 1.06781e-05, 1.137e-06, 400.5, -493.502, 654.341, 0.999999, 0.00145407, -8.56754e-06, 1.09895e-06, 0.016629, 976.984, 547.47, 1, 0.000288691, 5.37442e-06, -3.65522e-05, -0.0166548, -976.81, 544.53, 1, 0.000288102, -5.36167e-06, -3.66122e-05,0.010010
3, 0, 0, 0, 1, 0, 0, 0, -2.96324e-20, 501.982, 730.492, 0.999997, 0.00225404, -4.80104e-23, 6.64769e-23, -2.52973e-20, -502.014, 728.508, 0.999997, 0.00225497, -6.57193e-23, -5.65946e-23, -4.75457e-20, 510.641, 403.515, 0.999998, 0.00191136, -2.43578e-22, 1.2325e-22, -1.41316e-20, -510.355, 401.485, 0.999998, 0.00191291, -4.22471e-22, -8.66974e-23, 0.0103244, 843.458, 550.089, 1, 0.00043325, 8.06626e-06, -5.48048e-05, -0.0103485, -843.201, 545.911, 1, 0.000431924, -8.03757e-06, -5.49398e-05, -165, 533.974, 1005.5, 1, -7.34591e-05, -1.98176e-13, -2.69812e-09, -165, -534.025, 1005.5, 1, -7.03525e-05, -1.74099e-13, -2.47474e-09, -165, 533.921, 647.605, 1, -7.34591e-05, -1.44697e-10, -1.96977e-06, -165, -534.076, 645.394, 1, -7.03525e-05, -1.3836e-10, -1.96667e-06, 400.499, 493.493, 655.988, 0.999998, 0.00218018, 1.68075e-05, 1.7226e-06, 400.501, -493.502, 654.012, 0.999998, 0.00218124, -1.2059e-05, 1.637e-06, 0.0249333, 977.025, 548.204, 1, 0.00043325, 8.06626e-06, -5.48048e-05, -0.0249915, -976.765, 543.795, 1, 0.000431924, -8.03757e-06, -5.49398e-05,0.015015
4, 0, 0, 0, 1, 0, 0, 0, -1.41505e-20, 501.975, 730.822, 0.999995, 0.0030051, -2.91137e-23, 3.16112e-23, -3.55526e-21, -502.017, 728.177, 0.999995, 0.00300676, 4.31851e-23, -8.63699e-24, 5.74393e-21, 510.688, 403.854, 0.999997, 0.00254807, 1.72546e-22, -3.16141e-23, -2.20706e-20, -510.305, 401.146, 0.999997, 0.00255081, 2.19857e-22, -1.07475e-23, 0.0137601, 843.497, 550.785, 1, 0.000577946, 1.07611e-05, -7.30411e-05, -0.013803, -843.154, 545.214, 1, 0.00057559, -1.07101e-05, -7.3281e-05, -165, 533.965, 1005.5, 1, -9.86341e-05, -4.79764e-13, -4.86434e-09, -165, -534.033, 1005.5, 1, -9.31115e-05, -4.03595e-13, -4.33487e-09, -165, 533.894, 647.972, 1, -9.86341e-05, -3.4547e-10, -3.50254e-06, -165, -534.101, 645.025, 1, -9.31115e-05, -3.25443e-10, -3.4952e-06, 400.499, 493.49, 656.317, 0.999996, 0.00290659, 2.34633e-05, 2.32111e-06, 400.501, -493.502, 653.682, 0.999996, 0.00290848, -1.5022e-05, 2.16894e-06, 0.0332305, 977.065, 548.939, 1, 0.000577946, 1.07611e-05, -7.30411e-05, -0.033334, -976.718, 543.061, 1, 0.00057559, -1.07101e-05, -7.3281e-05,0.020020
5, 0, 0, 0, 1, 0, 0, 0, 7.67104e-20, 501.968, 731.153, 0.999993, 0.00375598, 1.34635e-22, -1.71706e-22, 1.4482e-21, -502.02, 727.846, 0.999993, 0.00375857, -2.09303e-23, 3.54551e-24, 7.01573e-20, 510.733, 404.192, 0.999995, 0.00318454, -1.82589e-22, -1.08827e-22, 9.19124e-20, -510.255, 400.808, 0.999995, 0.00318883, -1.05433e-22, 1.56884e-22, 0.0171929, 843.536, 551.481, 1, 0.000722777, 1.34589e-05, -9.12606e-05, -0.0172599, -843.107, 544.518, 1, 0.000719095, -1.33792e-05, -9.16356e-05, -165, 533.955, 1005.5, 1, -0.000124153, -9.56786e-13, -7.70693e-09, -165, -534.041, 1005.5, 1, -0.000115524, -7.70846e-13, -6.67291e-09, -165, 533.867, 648.34, 1, -0.000124153, -6.79586e-10, -5.4738e-06, -165, -534.125, 644.656, 1, -0.000115524, -6.30697e-10, -5.45944e-06, 400.499, 493.487, 656.646, 0.999993, 0.00363282, 3.06448e-05, 2.93365e-06, 400.501, -493.501, 653.353, 0.999993, 0.00363576, -1.74562e-05, 2.69592e-06, 0.0415205, 977.104, 549.674, 1, 0.000722777, 1.34589e-05, -9.12606e-05, -0.0416823, -976.67, 542.326, 1, 0.000719095, -1.33792e-05, -9.16356e-05,0.025025
6, 0, 0, 0, 1, 0, 0, 0, -5.18487e-21, 501.96, 731.483, 0.99999, 0.00450667, -2.49914e-23, 1.12745e-23, 3.64199e-20, -502.023, 727.515, 0.99999, 0.0045104, 6.86352e-23, 8.1985e-23, 1.49169e-19, 510.779, 404.53, 0.999993, 0.00382077, -4.18717e-22, -2.18468e-22, 7.18449e-20, -510.205, 400.469, 0.999993, 0.00382695, -5.59558e-22, 5.39879e-23, 0.0206226, 843.573, 552.176, 1, 0.000867738, 1.61596e-05, -0.000109463, -0.020719, -843.059, 543.822, 1, 0.000862437, -1.60448e-05, -0.000110003, -165, 533.946, 1005.5, 1, -0.000150014, -1.68792e-12, -1.12521e-08, -165, -534.049, 1005.5, 1, -0.00013759, -1.30231e-12, -9.46553e-09, -165, 533.839, 648.708, 1, -0.000150014, -1.18266e-09, -7.88369e-06, -165, -534.149, 644.287, 1, -0.00013759, -1.08131e-09, -7.85889e-06, 400.499, 493.483, 656.975, 0.99999, 0.00435884, 3.83516e-05, 3.56135e-06, 400.501, -493.5, 653.023, 0.99999, 0.00436308, -1.93616e-05, 3.21908e-06, 0.0498031, 977.142, 550.408, 1, 0.000867738, 1.61596e-05, -0.000109463, -0.050036, -976.621, 541.591, 1, 0.000862437, -1.60448e-05, -0.000110003,0.030030
7, 0, 0, 0, 1, 0, 0, 0, -1.81425e-20, 501.951, 731.813, 0.999986, 0.00525715, 8.1301e-24, 4.14091e-23, 4.41196e-20, -502.025, 727.184, 0.999986, 0.00526222, 9.9627e-23, 9.92042e-23, -4.31554e-20, 510.824, 404.868, 0.99999, 0.00445674, -1.48141e-22, 1.01866e-22, -2.12055e-20, -510.155, 400.131, 0.99999, 0.00446514, -1.86273e-22, -6.70387e-23, 0.0240491, 843.61, 552.872, 0.999999, 0.00101283, 1.88631e-05, -0.000127648, -0.0241803, -843.01, 543.125, 0.999999, 0.00100561, -1.87069e-05, -0.000128383, -165, 533.937, 1005.5, 1, -0.000176218, -2.73593e-12, -1.55264e-08, -165, -534.057, 1005.5, 1, -0.00015931, -2.02153e-12, -1.26898e-08, -165, 533.811, 649.075, 1, -0.000176218, -1.89124e-09, -1.07324e-05, -165, -534.172, 643.918, 1, -0.00015931, -1.70349e-09, -1.0693e-05, 400.498, 493.478, 657.303, 0.999987, 0.00508464, 4.65828e-05, 4.20532e-06, 400.502, -493.498, 652.694, 0.999987, 0.0050904, -2.0738e-05, 3.73956e-06, 0.058078, 977.179, 551.143, 0.999999, 0.00101283, 1.88631e-05, -0.000127648, -0.058395, -976.572, 540.857, 0.999999, 0.00100561, -1.87069e-05, -0.000128383,0.035035
8, 0, 0, 0, 1, 0, 0, 0, -5.20132e-20, 501.942, 732.143, 0.999982, 0.00600741, -7.93057e-23, 1.16487e-22, 3.34909e-20, -502.026, 726.854, 0.999982, 0.00601402, 1.07969e-22, 7.50414e-23, 5.46254e-20, 510.868, 405.206, 0.999987, 0.00509242, -2.72268e-22, -6.82828e-23, 2.13062e-20, -510.103, 399.792, 0.999987, 0.0051034, -4.04716e-22, -1.74523e-23, 0.0274723, 843.646, 553.567, 0.999999, 0.00115804, 2.15693e-05, -0.000145815, -0.0276438, -842.96, 542.429, 0.999999, 0.00114862, -2.13654e-05, -0.000146775, -165, 533.927, 1005.5, 1, -0.000202764, -4.16802e-12, -2.05567e-08, -165, -534.065, 1005.5, 1, -0.000180682, -2.9492e-12, -1.6323e-08, -165, 533.783, 649.442, 1, -0.000202764, -2.84273e-09, -1.40199e-05, -165, -534.196, 643.549, 1, -0.000180682, -2.52252e-09, -1.39611e-05, 400.498, 493.473, 657.632, 0.999983, 0.00581019, 5.5338e-05, 4.86669e-06, 400.502, -493.496, 652.364, 0.999983, 0.00581773, -2.15853e-05, 4.2585e-06, 0.0663452, 977.216, 551.877, 0.999999, 0.00115804, 2.15693e-05, -0.000145815, -0.0667592, -976.521, 540.122, 0.999999, 0.00114862, -2.13654e-05, -0.000146775,0.040040
9, 0, 0, 0, 1, 0, 0, 0, -1.82993e-20, 501.933, 732.473, 0.999977, 0.00675741, -6.65732e-23, 4.00856e-23, -3.89362e-20, -502.027, 726.523, 0.999977, 0.00676578, -9.6531e-23, -8.76012e-23, 5.89232e-20, 510.912, 405.544, 0.999984, 0.00572782, 5.77891e-23, -1.21685e-22, 1.32881e-19, -510.052, 399.454, 0.999984, 0.0057417, -3.57905e-24, 2.48953e-22, 0.0308923, 843.68, 554.263, 0.999999, 0.00130338, 2.42782e-05, -0.000163964, -0.0311092, -842.91, 541.733, 0.999999, 0.00129145, -2.40202e-05, -0.000165178, -165, 533.918, 1005.5, 1, -0.000229652, -6.05572e-12, -2.63699e-08, -165, -534.072, 1005.5, 1, -0.000201708, -4.10324e-12, -2.0343e-08, -165, 533.754, 649.809, 1, -0.000229652, -4.07547e-09, -1.77463e-05, -165, -534.219, 643.18, 1, -0.000201708, -3.5627e-09, -1.76627e-05, 400.498, 493.468, 657.961, 0.999979, 0.0065355, 6.46163e-05, 5.54656e-06, 400.502, -493.494, 652.035, 0.999979, 0.00654503, -2.19036e-05, 4.77705e-06, 0.0746043, 977.251, 552.611, 0.999999, 0.00130338, 2.42782e-05, -0.000163964, -0.0751282, -976.47, 539.388, 0.999999, 0.00129145, -2.40202e-05, -0.000165178,0.045045
